scenario,prob_both_i,prob_both_j,prob_split_ij,prob_split_ji,household_size,quality_diff,distance_diff,income_medium,income_high,education_secondary,education_tertiary,prob_together,prob_split,prefer_higher_quality,quality_bin
0,0.33281816259874436,0.2794959375267961,0.193339933653174,0.19434596622128558,4.0,-0.2066561473786639,-0.9392745073455098,0.0,1.0,1.0,0.0,0.6123141001255404,0.38768589987445956,0.2794959375267961,Lower
1,0.8159062924361289,0.020045912268815094,0.0842199682386936,0.0798278270563624,3.0,2.1326766609706356,1.0314787551412654,0.0,0.0,0.0,0.0,0.835952204704944,0.164047795295056,0.8159062924361289,Much Higher
2,0.7073757905773345,0.048632718400599025,0.12457612326084082,0.11941536776122584,4.0,1.6846849658555492,1.2086671972772405,1.0,0.0,0.0,0.0,0.7560085089779335,0.24399149102206666,0.7073757905773345,Much Higher
3,0.9163187447846599,0.00423077169266797,0.04089006425606411,0.038560419266608,3.0,2.33578589602627,-0.9440137939045741,0.0,0.0,0.0,0.0,0.9205495164773279,0.07945048352267212,0.9163187447846599,Much Higher
4,0.9064372138663231,0.005592719529826222,0.04526969660924779,0.04270036999460292,3.0,2.326608177094293,-0.5176237184815466,0.0,1.0,0.0,0.0,0.9120299333961494,0.0879700666038507,0.9064372138663231,Much Higher
5,0.9409768055432496,0.0020855439752790164,0.029176298483450592,0.027761351998020687,5.0,1.979453105628947,-3.244225008000893,1.0,0.0,0.0,0.0,0.9430623495185286,0.05693765048147128,0.9409768055432496,Much Higher
6,0.5211302792160138,0.14047185991329014,0.17004231973844353,0.1683555411322525,3.0,0.39696241732350995,-0.7847463304968665,1.0,0.0,1.0,1.0,0.661602139129304,0.338397860870696,0.5211302792160138,Higher
7,0.06195924787888826,0.6831949753318571,0.12491502794240654,0.12993074884684802,2.0,-1.5675713820404096,-1.267504221342738,0.0,1.0,1.0,1.0,0.7451542232107454,0.2548457767892546,0.6831949753318571,Much Lower
8,0.10639323505845621,0.5987396274505098,0.14587792299157384,0.14898921449946007,2.0,-0.8403220653985521,0.013955588003469965,1.0,0.0,1.0,0.0,0.705132862508966,0.2948671374910339,0.5987396274505098,Lower
9,0.24709308200708693,0.3626764207634692,0.19443576170759314,0.19579473552185075,3.0,-0.27733645278909236,-0.2885930824247638,1.0,1.0,0.0,1.0,0.6097695027705561,0.3902304972294439,0.3626764207634692,Lower
10,0.03896240937446411,0.7438890213848474,0.10680645872488058,0.110342110515808,4.0,-1.296779741395318,0.4667817367247582,0.0,0.0,1.0,0.0,0.7828514307593115,0.2171485692406886,0.7438890213848474,Much Lower
11,0.8031367077774324,0.022250211958717285,0.08995610713409301,0.08465697312975727,3.0,2.41755759155686,2.136645405403306,1.0,0.0,0.0,0.0,0.8253869197361496,0.17461308026385028,0.8031367077774324,Much Higher
12,0.038174923871949255,0.7468537968232577,0.1054730695865466,0.10949820971824634,3.0,-1.491305584607184,-0.12053833429581373,1.0,0.0,1.0,1.0,0.7850287206952069,0.21497127930479293,0.7468537968232577,Much Lower
13,0.9494426347843012,0.0014961445083309728,0.025159323668516507,0.02390189703885131,3.0,2.0415251954304665,-3.5809501951657925,0.0,0.0,1.0,0.0,0.9509387792926323,0.04906122070736782,0.9494426347843012,Much Higher
14,0.921671336444521,0.003206500150106799,0.03825143641986776,0.036870726985504414,4.0,1.4638562633158796,-4.1936018401138275,0.0,0.0,0.0,0.0,0.9248778365946279,0.07512216340537217,0.921671336444521,Much Higher
15,0.10402036668134469,0.5713231900567345,0.162891460376469,0.161764982885452,4.0,0.27632205762193235,3.5673509585914216,0.0,0.0,1.0,0.0,0.6753435567380792,0.324656443261921,0.10402036668134469,Higher
16,0.04418039801311648,0.713639584126697,0.12013851566957665,0.12204150219060982,4.0,-0.6257799777676836,2.36209994085979,0.0,0.0,0.0,0.0,0.7578199821398135,0.24218001786018645,0.713639584126697,Lower
17,0.019989342097639973,0.8148688406529374,0.08012993941200636,0.08501187783741636,4.0,-2.354925206128216,-1.7438875913000071,1.0,0.0,1.0,1.0,0.8348581827505774,0.16514181724942273,0.8148688406529374,Much Lower
18,0.3936187471230282,0.2271416151437075,0.18946120169946576,0.18977843603379846,3.0,-0.0666165109696799,-1.0788525298198397,0.0,1.0,1.0,1.0,0.6207603622667357,0.3792396377332642,0.2271416151437075,Lower
19,0.30812484435035425,0.28835317038603475,0.2029390081693229,0.20058297709428807,3.0,0.46497977980266714,1.3912979186162266,0.0,1.0,0.0,1.0,0.5964780147363891,0.40352198526361094,0.30812484435035425,Higher
20,0.39716644834142845,0.23651421858852525,0.18466046289839236,0.18165887017165389,2.0,0.652554763078993,1.2838026095329051,1.0,0.0,1.0,0.0,0.6336806669299537,0.36631933307004627,0.39716644834142845,Higher
21,0.04085371541893794,0.741749198048035,0.10736934970307621,0.11002773682995093,4.0,-0.9738710893446558,1.4263343818423653,1.0,1.0,1.0,0.0,0.7826029134669729,0.21739708653302714,0.741749198048035,Lower
22,0.5485727571995941,0.13103731065171761,0.15970025316679953,0.16068967898188877,3.0,-0.2459354177985904,-3.042627659676545,1.0,0.0,1.0,0.0,0.6796100678513117,0.3203899321486883,0.13103731065171761,Lower
23,0.1432482948762907,0.49234792563868274,0.18318370462498487,0.18122007486004177,3.0,0.4291372927620636,3.3217379780001757,0.0,1.0,0.0,1.0,0.6355962205149734,0.36440377948502667,0.1432482948762907,Higher
24,0.49521185568729525,0.1430128312350048,0.18272051257631078,0.17905480050138917,5.0,0.8069555357197211,0.6423890341142879,0.0,0.0,0.0,0.0,0.6382246869223,0.36177531307769994,0.49521185568729525,Higher
25,0.8362510732642363,0.016423953474758005,0.07506125885926959,0.07226371440173601,4.0,1.5124051689950395,-1.3157034290711815,1.0,0.0,0.0,0.0,0.8526750267389943,0.1473249732610056,0.8362510732642363,Much Higher
26,0.5681416022309561,0.10227571319034516,0.1682885051681392,0.16129417941055954,5.0,1.6902930185943994,2.7403573987761667,0.0,0.0,0.0,0.0,0.6704173154213012,0.32958268457869877,0.5681416022309561,Much Higher
27,0.5435188901405913,0.12888352996063818,0.1648815615937391,0.16271601830503135,5.0,0.5264387271057738,-0.5698293631655734,1.0,0.0,1.0,0.0,0.6724024201012295,0.3275975798987705,0.5435188901405913,Higher
28,0.30069234325743033,0.30921739010832305,0.1948700940415353,0.19522017259271135,3.0,-0.07146869055589908,-0.18591296855388206,1.0,0.0,0.0,0.0,0.6099097333657534,0.3900902666342466,0.30921739010832305,Lower
